"County","Tax Code","X..Lat.","Y..Long.","CNTY_NBR","FIPS","Shape_Leng","Shape_Area","County.Centroid.Location"
"Anderson",1,31.81321543,-95.65251774,1,"48,001",3.70938097,0.265991956,"POINT (-95.65251774 31.81321543)"
"Andrews",3,32.30506283,-102.6378839,2,"48,003",2.579602167,0.372269477,"POINT (-102.6378839 32.30506283)"
"Angelina",5,31.25475875,-94.611742,3,"48,005",3.432799188,0.212056914,"POINT (-94.611742 31.25475875)"
"Aransas",7,28.12709562,-96.99258951,4,"48,007",6.125349667,0.06711832,"POINT (-96.99258951 28.12709562)"
"Archer",9,33.61539176,-98.68783437,5,"48,009",1.941220218,0.232834442,"POINT (-98.68783437 33.61539176)"
"Armstrong",11,34.96522076,-101.3572412,6,"48,011",1.945689566,0.233109934,"POINT (-101.3572412 34.96522076)"
"Atascosa",13,28.89418432,-98.52741302,7,"48,013",2.273610657,0.291800502,"POINT (-98.52741302 28.89418432)"
"Austin County",15,NA,NA,NA,NA,NA,NA,NA
"Bailey",17,34.0684915,-102.8299069,9,"48,017",1.836282732,0.209332494,"POINT (-102.8299069 34.0684915)"
"Bandera",19,29.74724753,-99.24637282,10,"48,019",2.120842963,0.192677466,"POINT (-99.24637282 29.74724753)"
"Bastrop",21,30.10353518,-97.31187705,11,"48,021",1.83148179,0.217074712,"POINT (-97.31187705 30.10353518)"
"Baylor",23,33.61648147,-99.21351964,12,"48,023",1.912457508,0.226681232,"POINT (-99.21351964 33.61648147)"
"Bee",25,28.41736675,-97.74116811,13,"48,025",2.228981316,0.209983578,"POINT (-97.74116811 28.41736675)"
"Bell",27,31.03778267,-97.47790776,14,"48,027",2.178761589,0.265926568,"POINT (-97.47790776 31.03778267)"
"Bexar",29,29.44884523,-98.51966309,15,"48,029",2.729791097,0.302845599,"POINT (-98.51966309 29.44884523)"
"Blanco",31,30.26636128,-98.39974086,16,"48,031",1.683596565,0.173305894,"POINT (-98.39974086 30.26636128)"
"Borden",33,32.7436916,-101.4317533,17,"48,033",1.908679146,0.22582417,"POINT (-101.4317533 32.7436916)"
"Bosque",35,31.90050476,-97.63437613,18,"48,035",2.554113353,0.247533464,"POINT (-97.63437613 31.90050476)"
"Bowie",37,33.44572786,-94.42324298,19,"48,037",4.057052845,0.231733439,"POINT (-94.42324298 33.44572786)"
"Brazoria",39,29.19345387,-95.45578479,20,"48,039",8.449998572,0.342869742,"POINT (-95.45578479 29.19345387)"
"Brazos",41,30.6610425,-96.3022943,21,"48,041",2.811591006,0.143906946,"POINT (-96.3022943 30.6610425)"
"Brewster",43,29.81205836,-103.2518906,22,"48,043",6.004896343,1.497093043,"POINT (-103.2518906 29.81205836)"
"Briscoe",45,34.53041048,-101.2085769,23,"48,045",1.923905198,0.229466022,"POINT (-101.2085769 34.53041048)"
"Brooks",47,27.0315669,-98.21874127,24,"48,047",2.056815131,0.222310537,"POINT (-98.21874127 27.0315669)"
"Brown",49,31.77432313,-98.99989649,25,"48,049",2.082173277,0.236003924,"POINT (-98.99989649 31.77432313)"
"Burleson",51,30.49246139,-96.62109399,26,"48,051",2.483673931,0.164949546,"POINT (-96.62109399 30.49246139)"
"Burnet",53,30.78843382,-98.18252382,27,"48,053",2.494223061,0.249033659,"POINT (-98.18252382 30.78843382)"
"Caldwell",55,29.83677935,-97.61983479,28,"48,055",1.870385996,0.132116353,"POINT (-97.61983479 29.83677935)"
"Calhoun",57,28.48966896,-96.64708119,29,"48,057",9.289508624,0.129738262,"POINT (-96.64708119 28.48966896)"
"Callahan",59,32.2977738,-99.37359692,30,"48,059",1.897523701,0.223364373,"POINT (-99.37359692 32.2977738)"
"Cameron",61,26.13847728,-97.51499968,31,"48,061",6.776490677,0.237848399,"POINT (-97.51499968 26.13847728)"
"Camp",63,32.97321771,-94.97860185,32,"48,063",1.426383691,0.050799133,"POINT (-94.97860185 32.97321771)"
"Carson",65,35.40346802,-101.3542037,33,"48,065",1.957610985,0.237516554,"POINT (-101.3542037 35.40346802)"
"Cass",67,33.07750446,-94.34348771,34,"48,067",2.729630317,0.240082449,"POINT (-94.34348771 33.07750446)"
"Castro",69,34.53000304,-102.2617608,35,"48,069",1.923920787,0.228709346,"POINT (-102.2617608 34.53000304)"
"Chambers",71,29.73912276,-94.60891308,36,"48,071",3.954636694,0.152677647,"POINT (-94.60891308 29.73912276)"
"Cherokee",73,31.83695632,-95.16515234,37,"48,073",3.639151502,0.262098402,"POINT (-95.16515234 31.83695632)"
"Childress",75,34.52929257,-100.2075664,38,"48,075",1.708574094,0.18152779,"POINT (-100.2075664 34.52929257)"
"Clay",77,33.78379717,-98.208958,39,"48,077",2.382094906,0.279980045,"POINT (-98.208958 33.78379717)"
"Cochran",79,33.60410808,-102.8285264,40,"48,079",1.768253751,0.19513349,"POINT (-102.8285264 33.60410808)"
"Coke",81,31.88849293,-100.5298747,41,"48,081",1.957649096,0.22908758,"POINT (-100.5298747 31.88849293)"
"Coleman",83,31.77329421,-99.45362579,42,"48,083",2.675641055,0.316062015,"POINT (-99.45362579 31.77329421)"
"Collin",85,33.18789055,-96.57248871,43,"48,085",1.931216329,0.221921741,"POINT (-96.57248871 33.18789055)"
"Collingsworth",87,34.96498493,-100.2700733,44,"48,087",1.94963166,0.234984086,"POINT (-100.2700733 34.96498493)"
"Colorado",89,29.6208542,-96.52630821,45,"48,089",2.361173893,0.234963166,"POINT (-96.52630821 29.6208542)"
"Comal",91,29.80816362,-98.27814516,46,"48,091",1.949036658,0.139000572,"POINT (-98.27814516 29.80816362)"
"Comanche",93,31.9490639,-98.55841538,47,"48,093",2.095434312,0.235313921,"POINT (-98.55841538 31.9490639)"
"Concho",95,31.32645211,-99.86413426,48,"48,095",2.16469319,0.243756513,"POINT (-99.86413426 31.32645211)"
"Cooke",97,33.638465,-97.21247642,49,"48,097",2.832732183,0.225401457,"POINT (-97.21247642 33.638465)"
"Coryell",99,31.39087578,-97.7991883,50,"48,099",2.05310828,0.259511549,"POINT (-97.7991883 31.39087578)"
"Cottle",101,34.0776571,-100.2786983,51,"48,101",2.021259965,0.22801233,"POINT (-100.2786983 34.0776571)"
"Crane",103,31.42846287,-102.5156425,52,"48,103",2.397673949,0.192992554,"POINT (-102.5156425 31.42846287)"
"Crockett",105,30.72291931,-101.4118364,53,"48,105",5.08101873,0.684742415,"POINT (-101.4118364 30.72291931)"
"Crosby",107,33.61459873,-101.2998612,54,"48,107",1.913220344,0.22690701,"POINT (-101.2998612 33.61459873)"
"Culberson",109,31.44709817,-104.5177421,55,"48,109",4.080850332,0.937432831,"POINT (-104.5177421 31.44709817)"
"Dallam",111,36.27777107,-102.6021647,56,"48,111",2.647748843,0.391034911,"POINT (-102.6021647 36.27777107)"
